city,category,hotel_1,value_1,name_1,hotel_2,value_2,name_2,hotel_3,value_3,name_3,hotel_4,value_4,name_4
Philadelphia,location,3226761,4.9,Hotel Monaco Philadelphia,1510002,4.8,Hotel Palomar Philadelphia - a Kimpton Hotel,662409,4.6,AKA Rittenhouse Square,1091941,4.6,The Independent
Philadelphia,sleep_quality,3186945,4.8,Homewood Suites University City,3226761,4.8,Hotel Monaco Philadelphia,1479774,4.5,Le Meridien Philadelphia,112145,4.2,Sheraton Philadelphia Society Hill Hotel
Philadelphia,rooms,3186945,4.8,Homewood Suites University City,3226761,4.7,Hotel Monaco Philadelphia,499019,4.5,Morris House Hotel,1510002,4.5,Hotel Palomar Philadelphia - a Kimpton Hotel
San Antonio,service,240457,5.0,Passport Inn San Antonio,1929352,4.9,Drury Plaza Hotel San Antonio North,2039194,4.8,Pinn Road Inn & Suites,2340364,4.8,Microtel Inn & Suites by Wyndham San Antonio/Near SeaWorld/Lackland AFB
San Antonio,cleanliness,1741181,5.0,Matador Motel,240457,5.0,Passport Inn San Antonio,2554348,4.9,Holiday Inn Hotel & Suites San Antonio Northwest,656713,4.9,TownePlace Suites San Antonio Airport
San Antonio,overall,240457,5.0,Passport Inn San Antonio,2554348,4.8,Holiday Inn Hotel & Suites San Antonio Northwest,1929352,4.7,Drury Plaza Hotel San Antonio North,2340364,4.7,Microtel Inn & Suites by Wyndham San Antonio/Near SeaWorld/Lackland AFB
San Antonio,value,614530,5.0,Safari Inn Motel,240457,5.0,Passport Inn San Antonio,2039194,5.0,Pinn Road Inn & Suites,1674220,4.9,Comfort Suites San Antonio NW Near Six Flags
San Antonio,location,559584,5.0,Siesta Inn and Suites,240457,5.0,Passport Inn San Antonio,1723698,4.9,TownePlace Suites San Antonio Downtown,2155705,4.9,Home2 Suites by Hilton San Antonio-Downtown/Near the River Walk
San Antonio,sleep_quality,1741181,4.8,Matador Motel,2039194,4.8,Pinn Road Inn & Suites,1674220,4.8,Comfort Suites San Antonio NW Near Six Flags,1929352,4.7,Drury Plaza Hotel San Antonio North
San Antonio,rooms,1146357,5.0,Value Place Zarzamora,240457,5.0,Passport Inn San Antonio,1929352,4.9,Drury Plaza Hotel San Antonio North,2554348,4.8,Holiday Inn Hotel & Suites San Antonio Northwest
San Diego,service,1100081,5.0,Renaissance San Diego Gaslamp Quarter,550891,5.0,Ensenada Court Condo,781627,4.8,The Grand Del Mar,268155,4.8,Residence Inn San Diego Scripps Poway Parkway
San Diego,cleanliness,1100081,5.0,Renaissance San Diego Gaslamp Quarter,550891,5.0,Ensenada Court Condo,781627,4.9,The Grand Del Mar,574448,4.9,Britt Scripps Inn
San Diego,overall,550891,5.0,Ensenada Court Condo,781627,4.8,The Grand Del Mar,268155,4.6,Residence Inn San Diego Scripps Poway Parkway,656430,4.6,Homewood Suites San Diego Airport - Liberty Station
San Diego,value,550891,5.0,Ensenada Court Condo,781627,4.5,The Grand Del Mar,80735,4.5,Country Inn & Suites By Carlson - San Diego North,574448,4.5,Britt Scripps Inn
San Diego,location,1100081,5.0,Renaissance San Diego Gaslamp Quarter,550891,5.0,Ensenada Court Condo,1451746,4.9,Pacific View Inn,665258,4.8,Hard Rock Hotel San Diego
