category,hotel,value,name
service,249780,3.0,BEST WESTERN PLUS Queens Court Hotel
service,3506933,4.7,Howard Johnson Manhattan Soho
service,214197,2.2,Hotel Pennsylvania New York
service,598980,1.4,Apollo
service,1448670,3.0,America's Best Value Inn Mayor Hotel
service,557499,2.3,Mount Royal Hotel & Hostel
service,93356,1.6,New York Inn
service,1206876,1.6,Luxurstay B&B
service,217613,1.6,Chocolat Hostel
service,1164614,1.0,Third Ave House
service,665814,2.2,The Soho Loft
service,1990870,2.0,Elk Hotel
service,1141305,1.7,HOTEL 52
service,1699664,1.8,Sakuratei
service,284904,1.6,Senton Hotel
service,1547031,2.5,Signature Properties
service,1147661,0.0,National at Park Towers
service,122011,1.5,Hotel Riverview
service,3572583,1.0,Holiday Inn Express New York - Manhattan West Side
service,267183,1.2,World Hotel
service,1176643,1.3,Central Park House
service,540545,1.9,Chelsea Inn - 11th Avenue
service,99287,1.9,West Side Inn
service,673661,2.1,Sun Bright Hotel
service,3502291,4.0,Comfort Inn New York City
service,224229,2.1,Hotel Riverside Studios
service,580078,1.8,Woogo Apartments - Times Square
service,1201662,2.0,Tone on Lex
service,225944,1.1,Washington Hotel
service,651216,1.2,Beekman Apartments
service,93380,1.2,The Aladdin
service,543021,1.0,Sutton Place Apartments
service,2109422,1.8,Design Dream
service,290982,1.8,La Semana Hotel
service,2027969,3.4,Empire Roof
service,268217,4.0,Oakwood at 777 6th Avenue
service,268218,4.0,Oakwood at Longacre House
service,530265,4.0,Metro Home / Trump Park
service,235236,4.0,Oakwood Cosmopolitan
service,122022,2.0,Box Tree Inn
service,93572,2.0,The Dorset
service,254281,3.3,A Hospitality Company - Inc.
service,281695,2.0,Metro-Home / United Nations Suites
service,774805,3.0,Achieve Guest House
service,93384,1.1,Allerton
service,239836,2.2,The St. Regis Club at the Essex House - New York
service,320562,2.0,YourStay MidTown Apartments
service,1049347,4.5,The Melrose Hotel
service,99292,2.0,Riverside Hotel
service,662519,5.0,JC's New York Hotel
service,651265,2.5,The Carnegie Suites
service,1199530,1.9,Oxbridge Midtown East Apartments
service,1575440,3.6,East 73rd and York Ave Apartment
service,1497765,3.4,Apartment Hotel 51
service,1170336,3.2,The Gem Hotel New York Clarion
service,93421,1.7,Hotel Carter
service,1207461,4.0,Saint Nicholas Inn
service,249710,2.8,Morningside Inn
service,1161809,4.0,The Helmsley Windsor
service,1961167,2.5,Room.A
service,1199940,4.0,East Bridge
service,290987,3.4,St. Marks Hotel
service,1155229,2.8,Royal Park Hotel
service,93539,2.5,Riverside Tower
service,1161789,4.5,Inter-Continental Central Park South New York
service,1161790,2.3,Sheraton Russell Hotel
service,256738,2.9,Envoy Club Suites
service,113343,3.1,Marrakech Hotel on Broadway
service,93357,2.4,Park Savoy
service,93520,2.9,Park Central
service,75711,3.4,Best Western PLUS President Hotel at Times Square
service,267182,2.3,Windsor Hotel
service,93470,2.8,Jolly Hotel Madison Towers
service,1164645,3.7,Eurostars Wall Street
service,1938661,1.3,Milford Plaza Hotel
service,142114,2.5,Days Inn Hotel New York City - Broadway
service,649058,2.7,Hotel Alexander
service,224217,3.3,Clarion Hotel Park Avenue
service,249656,3.2,The Premier Hotel
service,1175436,3.0,Hotel Olcott
service,1217376,3.5,The GEM Hotel Midtown West
service,80093,2.8,Murray Hill Inn
service,3541823,4.3,New York Budget Inn
service,113297,3.2,Beekman Tower Hotel
service,1146072,3.7,Oakwood at 6th Avenue
service,1497821,3.4,NY Oyado
service,596200,3.6,Comfort Inn Convention Center
service,80081,2.5,Chelsea Inn - 17th Street
service,223023,3.0,Hudson New York
service,93438,4.5,Esplanade
service,616735,3.4,The Grant Hotel
service,208888,2.9,Chelsea Star Hotel
service,1465008,3.8,Holiday Inn Express New York City-Wall Street
service,1048678,3.8,The Hotel 91
service,550885,2.8,254 East Vacation
service,217627,2.7,Belnord Hotel
service,99447,2.9,Comfort Inn Central Park West
service,93581,2.8,The Inn at Irving Place
service,80075,3.0,Amsterdam Court Hotel
service,99307,2.9,Wellington Hotel
service,655870,3.3,Lafayette House
service,643970,3.3,Broadway Hotel and Hostel
service,564851,4.2,Courtyard by Marriott New York Manhattan / Upper East Side
service,93545,2.2,The Manhattan at Times Square Hotel
service,93633,3.4,The Helmsley Carlton House
service,674743,3.6,Hotel Azure
service,671150,3.6,Empire Hotel
service,112062,3.2,The Time
service,223022,3.5,Holiday Inn SoHo New York
service,93403,3.0,Bedford Hotel
service,122015,2.9,Hotel Grand Union
service,93374,3.6,Off Soho Suites
service,93625,2.7,Hotel Wales
